t(s)	cell#0
0	-0
1000	0.000738
2000	0.000738
3000	0.000738
4000	0.000738
5000	0.000738
6000	0.000738
7000	0.000738
8000	0.000738
9000	0.000738
10000	0.000738
11000	0.000738
12000	0.000738
13000	0.000738
14000	0.000738
15000	0.000738
16000	0.000738
17000	0.000738
18000	0.000738
19000	0.000738
20000	0.000738
21000	0.000738
22000	0.000738
23000	0.000738
24000	0.000738
25000	0.000738
26000	0.000738
27000	0.000738
28000	0.000738
29000	0.000738
30000	0.000738
31000	0.000738
32000	0.000738
33000	0.000738
34000	0.000738
34135	0.000738
